Date,PX_LAST,PX_VOLUME
1/11/2016,29.4528,38631767
1/12/2016,29.3864,38830184
1/13/2016,28.7892,40571977
1/14/2016,29.4907,38522829
1/15/2016,29.2063,46773503
1/19/2016,29.0925,32740269
1/20/2016,29.0641,49470839
1/21/2016,28.9883,36554638
1/22/2016,29.1115,31444403
1/25/2016,28.9124,28760238
1/26/2016,29.0736,25959033
1/27/2016,28.9314,28519054
1/28/2016,28.628,48785513
1/29/2016,28.903,56730809
2/1/2016,28.5996,47473256
2/2/2016,28.5712,48212138
2/3/2016,28.1256,44974694
2/4/2016,27.4905,56934604
2/5/2016,27.5189,38931602
2/8/2016,27.0734,47516490
2/9/2016,27.5853,57129774
2/10/2016,27.955,44707153
2/11/2016,27.6137,39640150
2/12/2016,27.8318,32543171
2/16/2016,28.2583,32570542
2/17/2016,28.0877,39112238
2/18/2016,28.0119,48186895
2/19/2016,27.955,39724859
2/22/2016,28.4859,39334413
2/23/2016,28.4005,31970661
2/24/2016,28.4574,31615008
2/25/2016,28.9977,52040085
2/26/2016,28.6565,42926045
2/29/2016,28.1256,35191529
3/1/2016,28.4764,31417662
3/2/2016,28.4195,34288226
3/3/2016,28.3342,36889916
3/4/2016,28.1636,36838592
3/7/2016,28.2394,32196325
3/8/2016,27.8318,32795865
3/9/2016,28.192,76901930
3/10/2016,28.0498,58125407
3/11/2016,28.9124,60378126
3/14/2016,28.5333,46764282
3/15/2016,28.0024,54670155
3/16/2016,27.5284,91225370
3/17/2016,27.8128,66872413
3/18/2016,27.9171,81904920
3/21/2016,28.5048,35222287
3/22/2016,28.7987,40683750
3/23/2016,28.6186,40783393
3/24/2016,28.5143,31944691
3/28/2016,28.2299,31167480
3/29/2016,28.4859,34596245
3/30/2016,28.5048,32091605
3/31/2016,28.0972,56794821
4/1/2016,28.4764,48363680
4/4/2016,29.121,51956937
4/5/2016,29.7277,284468054
4/6/2016,31.2159,150396010
4/7/2016,31.0548,61377971
4/8/2016,30.8083,52749519
4/11/2016,30.2301,83240779
4/12/2016,30.2964,42864282
4/13/2016,30.8462,36460342
4/14/2016,30.9505,31956813
4/15/2016,30.8083,35274322
4/18/2016,30.9126,36999336
4/19/2016,31.178,28420327
4/20/2016,31.5003,35086859
4/21/2016,31.5098,34179594
4/22/2016,31.5382,26137321
4/25/2016,31.4814,24259539
4/26/2016,31.3297,28741271
4/27/2016,31.2823,26094478
4/28/2016,31.197,33035072
4/29/2016,31.0074,34213618
5/2/2016,31.0927,38066813
5/3/2016,31.9459,71533580
5/4/2016,31.6615,36073395
5/5/2016,31.8226,23764159
5/6/2016,31.8321,23170974
5/9/2016,32.0596,31482720
5/10/2016,32.0407,24787046
5/11/2016,31.434,30395992
5/12/2016,31.4624,25376203
5/13/2016,31.4624,20514662
5/16/2016,31.6425,22048594
5/17/2016,31.3107,31475505
5/18/2016,31.4435,19957157
5/19/2016,31.6425,26656342
5/20/2016,31.9838,34571121
5/23/2016,31.9174,23839518
5/24/2016,32.325,28359406
5/25/2016,32.562,21036679
5/26/2016,32.6379,25290595
5/27/2016,32.8085,20464005
5/31/2016,32.8938,32777281
6/1/2016,32.9412,23113119
6/2/2016,33.055,30178076
6/3/2016,32.8843,26923708
6/6/2016,33.1118,20423941
6/7/2016,33.0265,23507519
